No,和名,カテゴリー,科名,目名
1,アカアシシギ,絶滅危惧Ⅱ類 (Vu),シギ科,チドリ目
2,アカショウビン,絶滅危惧Ⅱ類 (Vu),カワセミ科,ブッポウソウ目
3,アカモズ,絶滅危惧ⅠB類 (En),モズ科,スズメ目
4,アオバズク,情報不足 (Dd),フクロウ科,フクロウ目
5,アカハジロ,情報不足 (Dd),カモ科,カモ目
6,イカルチドリ,情報不足 (Dd),（記載なし）,目
7,イヌワシ,情報不足 (Dd),料,（記載なし）
8,ウズラ,準絶滅危惧 (Nt),（記載なし）,（記載なし）
9,ウミガラス,絶滅危惧ⅠA類 (Cr),ウミスズメ科,チドリ目
10,ウミスズメ,絶滅危惧Ⅱ類 (Vu),ウミスズメ,目
11,ウミネコ,準絶滅危惧 (Nt),カモメ科,折り目
12,エゾオオアカゲラ,情報不足 (Dd),キツツキ科,キツツキ目
13,エゾライチョウ,準絶滅危惧 (Nt),キジ科,キジ目
14,エゾヤマセミ,留意種 (N),カワセミ科,ブッポウソウ目
15,エトピリカ,絶滅危惧ⅠA類 (Cr),ウミスズメ科,チドリ目
16,オオジシギ,準絶滅危惧 (Nt),シギ科 チドリ目,（記載なし）
17,オオセグロカモメ,準絶滅危惧 (Nt),カモメ科,（記載なし）
18,オオソリハシシギ,情報不足 (Dd),シギ科,チドリ目
19,オオタカ,準絶滅危惧 (Nt),（記載なし）,目
20,オオヒシクイ,留意種 (N),カモ科,カモ目
21,オオミズナギドリ,絶滅危惧ⅠA類 (Cr),ミズナギドリ科,ミズナギドリ
22,オオムシクイ道内繁殖個体群,地域個体群 (Lp),ムシクイ科,スズメ目
23,オオワシ,絶滅危惧Ⅱ類 (Vu),効料,目
24,オオヨシゴイ,情報不足 (Dd),サキ科,ペリカン目
25,オオコノハズク,準絶滅危惧 (Nt),フクロウ科,フクロウ目
26,オジロワシ,絶滅危惧Ⅱ類 (Vu),科,目
27,オシドリ,準絶滅危惧 (Nt),料,カモ目
28,カラフトアオアシシギ,絶滅危惧ⅠA類 (Cr),シギ科,（記載なし）
29,カリガネ,準絶滅危惧 (Nt),カモ科,カモ目
30,カラシラサギ,情報不足 (Dd),サギ科,リカン目
31,カンムリックシガモ,絶滅 (Ex),カモ科,（記載なし）
32,キンメフクロウ,絶滅危惧ⅠA類 (Cr),フクロウ科,フクロウ目
33,ギンザンマシコ,準絶滅危惧 (Nt),スズメ目,アトリ
34,クマタカ,絶滅危惧ⅠB類 (En),（記載なし）,目
35,クマゲラ,絶滅危惧Ⅱ類 (Vu),キツツキ科,キツツキ目
36,ケイマフリ,絶滅危惧Ⅱ類 (Vu),ウミスズメ科,チドリ目
37,コアカゲラ,情報不足 (Dd),キツツキ科,キツツキ目
38,コウノトリ,絶滅危惧ⅠA類 (Cr),コウノトリ科,コウノトリ目
39,コジュリン,情報不足 (Dd),ホオジロ科,スズメ目
40,コシャクシギ,絶滅危惧ⅠB類 (En),シギ科,门
41,コクガン,留意種 (N),カモ科,カモ目
42,クロツラヘラサギ,情報不足 (Dd),トキ科,ペリカン目
43,サカツラガン,情報不足 (Dd),カモ科,カモ目
44,サンカノゴイ,絶滅危惧ⅠB類 (En),サキ科,ペリカン目
45,サンショウクイ,情報不足 (Dd),サンショウクイ科,スズメ目
46,シジュウカラガン,絶滅危惧Ⅱ類 (Vu),カモ料,目
47,シマアオジ,絶滅危惧ⅠA類 (Cr),ホオジロ科,スズメ目
48,シマクイナ,絶滅危惧ⅠB類 (En),タイナ料,ツル目
49,シマフクロウ,絶滅危惧ⅠA類 (Cr),フクロウ科,フクロウ目
50,シベリアオオハシシギ,情報不足 (Dd),シギ科,チドリ目
51,シロチドリ,準絶滅危惧 (Nt),チトリ目,カリ科
52,シロハヤブサ,情報不足 (Dd),ハヤブサ科,ハヤブサ目
53,シロフクロウ,情報不足 (Dd),フクロウ科,フクロウ目
54,セイタカシギ,準絶滅危惧 (Nt),セイタカシギ科,（記載なし）
55,タカブシギ,絶滅危惧Ⅱ類 (Vu),シキ料,折り目
56,タンチョウ,絶滅危惧Ⅱ類 (Vu),（記載なし）,ツル目
57,チシマウガラス,絶滅危惧ⅠA類 (Cr),（記載なし）,カツオドリ目
58,チシマシギ,情報不足 (Dd),シキ料,チドリ目
59,チュウヒ,絶滅危惧ⅠB類 (En),外科,目
60,ツクシガモ,情報不足 (Dd),カモ科,カモ目
61,ツバメチドリ,情報不足 (Dd),ツバメチドリ科,チドリ目
62,ツミ,情報不足 (Dd),（記載なし）,目
63,ツルシギ,絶滅危惧Ⅱ類 (Vu),シギ科,チドリ目
64,ツメナガセキレイ,準絶滅危惧 (Nt),スズメ目,セキレイ科
65,トキ,絶滅 (Ex),トキ科,ペリカン目
66,トモエガモ,留意種 (N),カモ科,カモ目
67,トラフズク,準絶滅危惧 (Nt),フクロウ料,フクロウ目
68,ハチクマ,準絶滅危惧 (Nt),効料,目
69,ハクガン,留意種 (N),カモ科,カ目
70,ハヤブサ,絶滅危惧Ⅱ類 (Vu),ハヤブサ科,ハヤブサ目
71,ハマシギ,準絶滅危惧 (Nt),チドリ目,シギ科
72,ハイタカ,準絶滅危惧 (Nt),効料,目
73,ヒクイナ,情報不足 (Dd),クイナ料,ツル目
74,ヒシクイ,留意種 (N),カモ科,カモ目
75,ヒメウ,絶滅危惧ⅠB類 (En),科,カツオドリ目
76,ヘラシギ,絶滅危惧ⅠA類 (Cr),シギ科,（記載なし）
77,ホオアカ,準絶滅危惧 (Nt),ホオジロ科,スズメ目
78,ホウロクシギ,絶滅危惧Ⅱ類 (Vu),シキン科,チドリ目
79,マガン,留意種 (N),カモ科,カモ目
80,マキノセンニュウ,準絶滅危惧 (Nt),スズメ目,センニュウ科
81,マダラウミスズメ,情報不足 (Dd),ウミスズメ科,目
82,マナヅル,情報不足 (Dd),ツル科,ツル目
83,ミサゴ,準絶滅危惧 (Nt),ミサゴ料,目
84,ミゾゴイ,情報不足 (Dd),サキ科,ペリカン目
85,ミュビゲラ,絶滅危惧ⅠA類 (Cr),キツツキ料,キツツキ
86,ヤマシギ,留意種 (N),シギ科,チャリ目
87,ヨタカ,準絶滅危惧 (Nt),科,目
88,ワシミミズク,絶滅危惧ⅠA類 (Cr),フクロウ科,フクロウ目
