No,和名,カテゴリー,学名
1,アカアシカツオドリ,絶滅危惧II類(VU),Sula sula rubripes
2,アカアシシギ,絶滅危惧IA類(CR),Tringa totanus ussuriensis
3,アカガシラカラスバト,絶滅危惧IA類(CR),Columba janthina nitens
4,アカコッコ,絶滅危惧IB類(EN),Turdus celaenops
5,アカハジロ,絶滅危惧IA類(CR),Aythya baeri
6,アカヒゲ,情報不足(DD),Larvivora komadori
7,アカモズ,絶滅危惧IA類(CR),Lanius cristatus superciliosus
8,アカヤマドリ,準絶滅危惧(NT),Syrmaticus soemmerringii soemmerringii
9,アオツラカツオドリ,絶滅危惧II類(VU),Sula dactylatra personata
10,アマサギ,絶滅危惧IB類(EN),Bubulcus ibis coromandus
11,アマツバメ,絶滅危惧II類(VU),Apus pacificus kurodae
12,アマミヤマシギ,準絶滅危惧(NT),Scolopax mira
13,アホウドリ,絶滅危惧II類(VU),Phoebastria albatrus
14,イイジマムシクイ,絶滅危惧IB類(EN),Phyllopus ijimae
15,イヌワシ,絶滅危惧IB類(EN),Aquila chrysaetos japonica
16,ウチヤマセンニュウ,絶滅危惧II類(VU),Locustella pleskei
17,ウミガラス,絶滅危惧IA類(CR),Uria aalge inornata
18,ウミスズメ,絶滅危惧IA類(CR),Synthliboramphus antiquus antiquus
19,ウミネコ,絶滅危惧II類(VU),Larus crassirostris
20,ウズラ,絶滅危惧II類(VU),Coturnix japonica
21,エゾライチョウ,準絶滅危惧(NT),Tetrastes bonasia vicinitas
22,エトピリカ,絶滅危惧IA類(CR),Fratercula cirrhata
23,エリグロアジサシ,絶滅危惧II類(VU),Sterna sumatrana sumatrana
24,オガサワラガビチョウ,絶滅(EX),Cichlopasser terrestris
25,オガサワラカラスバト,絶滅(EX),Columba versicolor
26,オガサワラカワラヒワ,絶滅危惧IA類(CR),Chloris kittlitzi
27,オガサワラノスリ,絶滅危惧IB類(EN),Buteo japonicus toyoshimai
28,オガサワラヒメミズナギドリ,絶滅危惧IA類(CR),Puffinus bryani
29,オガサワラマシコ,絶滅(EX),Carpodacus ferreorostris
30,オガサワラミズナギドリ,絶滅危惧IA類(CR),Puffinus bannermani
31,オオアジサシ,絶滅危惧IB類(EN),Thalasseus bergii cristatus
32,オオクイナ,絶滅危惧IB類(EN),Rallina eurizonoides sepiaria
33,オオセグロカモメ,絶滅危惧IB類(EN),Larus schistisagus
34,オオセッカ,絶滅危惧IB類(EN),Locustella pryeri pryeri
35,オオソリハシシギ,絶滅危惧II類(VU),Limosa lapponica baueri
36,オオタカ,準絶滅危惧(NT),Accipiter gentilis fujiyamae
37,オオトラツグミ,準絶滅危惧(NT),Zoothera dauma major
38,オオヒシクイ,準絶滅危惧(NT),Anser fabalis middendorffii
39,オオムシクイ,絶滅危惧IB類(EN),Phylloscopus examinandus
40,オオワシ,絶滅危惧II類(VU),Haliaeetus pelagicus
41,オオヨシゴイ,絶滅危惧IA類(CR),Ixobrychus eurhythmus
42,オジロワシ,絶滅危惧II類(VU),Haliaeetus albicilla albicilla
43,オナガ,準絶滅危惧(NT),Cyanopica cyanus japonica
44,オーストンアホウドリ,絶滅危惧IB類(EN),Hydrobates tristrami
45,オーストンオオアカゲラ,絶滅危惧II類(VU),Dendrocopos leucotos owstoni
46,オーストンヤマガラ,絶滅危惧IB類(EN),Sittiparus varius owstoni
47,オリイコゲラ,絶滅危惧IB類(EN),Yungipicus kizuki orii
48,オリイヤマガラ,絶滅危惧IB類(EN),Sittiparus olivaceus
49,オオジシギ,準絶滅危惧(NT),Gallinago hardwickii
50,カシラダカ,絶滅危惧IB類(EN),Emberiza rustica latifascia
51,カスミクイナ(ヒクイナ),準絶滅危惧(NT),Zapornia fusca erythrothorax
52,カラスバト,準絶滅危惧(NT),Columba janthina janthina
53,カリガネ,絶滅危惧IB類(EN),Anser erythropus
54,カラフトアオアシシギ,絶滅危惧IA類(CR),Tringa guttifer
55,カンムリウミスズメ,絶滅危惧II類(VU),Synthliboramphus wumizusume
56,カンムリツクシガモ,絶滅(EX),Tadorna cristata
57,カンムリワシ,絶滅危惧IA類(CR),Spilornis cheela perplexus
58,キタアマツバメ,準絶滅危惧(NT),Apus pacificus pacificus
59,キタタキ,絶滅(EX),Dryocopus javensis richardsi
60,キツツキ(ミユビゲラ),情報不足(DD),Picoides tridactylus inouyei
61,キョウジョシギ,準絶滅危惧(NT),Arenaria interpres interpres
62,キンクロハジロ,絶滅危惧II類(VU),Aythya fuligula
63,キンバト,情報不足(DD),Chalcophaps indica yamashinai
64,キンメフクロウ,情報不足(DD),Aegolius funereus sibiricus
65,クマタカ,絶滅危惧IB類(EN),Nisaetus nipalensis orientalis
66,クマゲラ,準絶滅危惧(NT),Dryocopus martius martius
67,クロアシアホウドリ,準絶滅危惧(NT),Phoebastria nigripes
68,クロウミツバメ,絶滅危惧II類(VU),Hydrobates matsudairae
69,クロコシジロウミツバメ,絶滅危惧IA類(CR),Hydrobates castro
70,クロツラヘラサギ,絶滅危惧II類(VU),Platalea minor
71,ケリ,情報不足(DD),Vanellus cinereus
72,ケイマフリ,絶滅危惧IB類(EN),Cepphus carbo
73,コアジサシ,絶滅危惧IB類(EN),Sternula albifrons sinensis
74,コアホウドリ,絶滅危惧IB類(EN),Phoebastria immutabilis
75,コサギ,絶滅危惧II類(VU),Egretta garzetta garzetta
76,コシジロウミツバメ,絶滅危惧IB類(EN),Hydrobates leucorhous leucorhous
77,コシジロヤマドリ,準絶滅危惧(NT),Syrmaticus soemmerringii ijimae
78,コシャクシギ,絶滅危惧IB類(EN),Numenius minutus
79,コジュリン,絶滅危惧IB類(EN),Emberiza yessoensis yessoensis
80,コクガン,絶滅危惧II類(VU),Branta bernicla nigricans
81,コトラツグミ,絶滅危惧IA類(CR),Zoothera dauma iriomotensis
82,コヨシキリ,準絶滅危惧(NT),Acrocephalus bistrigiceps
83,コウノトリ,絶滅危惧IB類(EN),Ciconia boyciana
